Gw,YR,MN,TYP,CITY,CSIZk,CCLASS,REGION,REGIAB,COMPANY,GROUP,EC,ACTNAME,NSZZ,RZM,SN0,SN1,A1,A2,PPL,R1,R2,SITE,DR,CLAIMNAME,C1,C2,DI,TR,RS,VAN,VIO,INT,SOL
1,4,6,1,Żnin,14,0,2,KP,Cukrownia Żnin,0,1,0,0,0,1,1,6,0,20,3,0,1,2,0,12,0,2,3,3,0,0,0,0
2,4,6,2,Żnin,14,0,2,KP,Cukrownia Żnin,0,1,0,0,0,1,1,6,0,20,6,0,1,0,0,12,0,2,3,3,0,0,0,0
1,4,7,1,Białystok,297,3,10,PD,0,0,17,0,0,0,0,1,2,0,0,3,0,5,0,bigger NFZ conctracts,15,0,1,3,0,0,0,0,0
4,4,7,2,Katowice,298,3,12,SL,Budryk mine,0,2,S,1,0,1,1,2,0,200,3,0,1,2,0,1,0,1,3,3,0,0,0,0
2,4,7,2,Katowice,298,3,12,SL,Budryk mine,0,2,S,1,0,1,1,2,0,0,4,0,1,2,0,1,0,1,3,3,0,1,0,0
1,4,7,1,Koszalin,109,0,16,ZP,Agros,0,3,0,0,0,1,1,4,0,0,4,0,1,0,0,12,0,2,3,3,0,0,0,0
1,4,7,2,Kraków,765,3,6,MP,Kraków emergency,0,17,S,1,0,0,0,2,0,0,1,0,0,0,0,15,0,1,3,0,0,0,0,0
2,4,7,1,PD,0,0,10,PD,0,healthcare,17,0,0,0,0,1,4,0,200,3,0,4,0,bigger NFZ conctracts,15,0,1,3,0,0,0,0,0
1,4,7,2,Suwałki,70,0,10,PD,0,healthcare,17,0,0,0,0,0,2,0,0,1,0,0,0,against merging,3,0,2,2,1,0,0,0,0
1,4,8,1,Bytom,170,0,12,SL,H and H,0,3,0,0,0,1,1,4,0,20,4,0,1,0,0,10,0,2,3,0,0,0,0,0
1,4,8,2,Inowrocław,74,0,2,KP,Solino,0,2,S,1,0,1,1,2,0,0,2,0,1,0,0,8,10,2,1,0,0,0,0,0
3,4,8,1,Katowice,298,3,12,SL,Budryk mine,0,2,S,1,0,1,1,2,0,0,2,0,1,1,0,1,0,1,3,2,0,0,0,0
1,4,8,2,Łódź,697,3,5,LO,PKP PR,0,8,S,1,0,1,1,2,0,0,5,0,1,0,against disciplinary layoffs,10,0,2,3,3,0,0,0,0
3,4,8,1,PD,0,0,10,PD,0,veterinary,1,0,0,0,1,1,4,0,100,3,0,2,0,0,1,0,1,1,3,0,0,0,0
10,4,8,1,PL,0,99,97,PL,0,veterinary,1,0,0,0,0,1,3,0,,5,0,1,4,against new wage regulations,1,0,2,1,0,0,0,0,0
1,4,8,1,Przechlewo,4,0,11,PM,0,veterinary,1,0,0,0,1,1,4,0,0,3,0,1,1,0,1,0,1,1,0,0,0,0,1
2,4,8,1,Szczecin,405,3,16,ZP,Przedsiębiorstwo Żeglugi Morskiej,0,8,0,0,0,1,1,3,0,1000,3,0,3,0,0,4,0,2,1,0,0,0,0,0
4,4,8,2,Warszawa,1754,3,7,MZ,Tramwaje Warszawskie,0,8,SR80,0,0,99,99,2,0,,2,0,0,99,0,1,0,1,3,3,0,0,0,0
1,4,8,1,Wrocław,638,3,1,DS,Klif,0,14,0,0,0,1,1,4,0,20,3,0,1,0,0,11,0,1,2,1,0,0,0,0
1,4,9,1,Bielsko Biała,172,0,12,SL,Fabryka Pił i Narzędzi Wapienica,0,3,S,1,0,1,1,2,0,,4,2,1,7,we dont want this investor,8,0,2,3,1,0,0,0,0
1,4,9,1,Gdynia,247,0,11,PM,Gdynia port,0,8,S,1,0,1,1,2,0,100,3,0,1,0,0,5,0,1,3,2,0,0,0,0
2,4,9,1,Gliwice,182,0,12,SL,PKM Gliwice,0,8,0,0,0,1,1,2,0,15,3,0,3,0,0,8,0,2,2,2,0,0,0,0
3,4,9,1,Gliwice,182,0,12,SL,PKM Gliwice,0,8,0,0,0,1,1,2,0,8,6,0,1,5,0,8,0,2,2,2,0,0,0,0
1,4,9,1,Kielce,198,3,13,SK,0,motocross,18,0,0,0,1,1,4,0,0,5,0,1,1,against dust on the race track,99,0,1,3,0,0,1,0,0
1,4,9,2,Lublin,340,3,3,LL,PKP PR,0,8,0,0,0,1,1,2,0,0,1,0,1,0,0,15,0,2,2,0,0,0,0,0
1,4,9,1,Lublin,340,3,3,LL,0,occupational therapy,17,0,0,0,1,1,4,6,200,3,0,3,0,0,15,0,1,2,0,0,0,0,0
1,4,9,1,Łódź,697,3,5,LO,99,99,99,OPZZ,0,0,2,2,1,0,0,8,0,5,0,0,14,0,1,5,0,0,0,0,0
4,4,9,1,Rzeszów,188,3,9,PK,MPEC,0,4,S,1,0,1,1,2,0,0,2,0,1,2,0,3,0,1,2,0,0,0,0,0
